James Bond	Face	Color	Symb	NumDisp	SymDisp	Topic	Explanation	BackgroundColor	qTextColor	footerColor	Text	Level	Answer
	4D	#ff0000	4♦	4	♦	Attitude		#ffffff	#000000	#cccccc	What is my attitude<br>with respect to<br>problems, trust,<br>change and risk?	1	Problems are solvable or they shouldn't be called problems. Trusting others is dangerous; there are a very few people I trust without question because if I doubted their loyalty I couldn't do my job. Change generally is for the worse; I prefer stability, but change does grant me the opportunity to manipulate others because when things change people don't know what the new rules are. Every day carries an element of risk. My days might be riskier than yours, but being alive carries risk.
	4S	#000000	4♠	4	♠	Product		#ffffff	#000000	#cccccc	What do I<br>produce and<br>for whom?	1	I provide a service more than a traditional product, but you could say I produce order and stability.
	5H	#ff0000	5♥	5	♥	Values		#ffffff	#000000	#cccccc	What do I value<br>and why?	1	I value trustworthiness, loyalty, competency, and endurance because it is so very rare.
	5C	#000000	5♣	5	♣	Community		#ffffff	#000000	#cccccc	What does community mean<br>to me?	1	My most important community are those in my organization that support me and keep me alive, and the second most important is my country for she gives me a reason to do what I do.
	5D	#ff0000	5♦	5	♦	Needs		#ffffff	#000000	#cccccc	What do I need<br>and what<br>is needed of me?	1	Others need me to preserve order and when I need help I either get it or I improvise. What I don't need is to hear your opinion of what I do.
	5S	#000000	5♠	5	♠	Return on  Investment		#ffffff	#000000	#cccccc	How do I<br>return the nvestment<br>made in me?	1	I return the investment made in training me by doing my job well.
	6H	#ff0000	6♥	6	♥	Character		#ffffff	#000000	#cccccc	What am I<br>doing to develop<br>better habits?	1	I practice and stay in shape.
	6C	#000000	6♣	6	♣	Judgment		#ffffff	#000000	#cccccc	When must I<br>judge others and<br>when must I<br>reserve judgment? 	1	Judging others is a very important part of my job. People who say you shouldn't judge others are idiots. They lack judgment.
	6D	#ff0000	6♦	6	♦	Followership		#ffffff	#000000	#cccccc	Am I<br>blaming leaders for<br>things that could be<br>my responsibility?	1	I blame incompetent leaders for their incompetence. But that's their problem, not mine.
	6S	#000000	6♠	6	♠	Leadership		#ffffff	#000000	#cccccc	Why do I<br>want to lead?	1	I have no interest in leading others because that would mean taking responsibility for them. You worry about you and I'll worry about me.
	7H	#ff0000	7♥	7	♥	Good vs. Nice		#ffffff	#000000	#cccccc	Do I choose to<br>be good knowing<br>that in order to<br>avoid being evil<br>I might do things<br>people will<br>not like?	1	I am a force for good, and I choose to be good even if people hate me. I am willing to be nice if it gets me what I want but I don't care if others like me or despise me.
	7C	#000000	7♣	7	♣	War vs. Peace		#ffffff	#000000	#cccccc	How will I<br>be good when<br>everyone else<br>is evil?	1	I trust that my country and my people are good and I worry about whenever everyone else is being evil.
	7D	#ff0000	7♦	7	♦	Knowing vs. Doing		#ffffff	#000000	#cccccc	How might I<br>benefit from<br>more knowledge<br>and when will I<br>know enough<br>to act?	1	I try my best to learn everything I need to know before I need to know it, but in my line of work, when it is time to act there is no time to do anything but act. He who hesitates is lost, literally.
	7S	#000000	7♠	7	♠	Now vs. Later		#ffffff	#000000	#cccccc	What rewards can<br>I put off until later<br>so I can concentrate<br>on doing my<br>best work now?	1	Since I can't be bought, I don't need rewards, now or later. When there is a job to do I do it, and when there isn't a job to do I take what I like.
	8H	#ff0000	8♥	8	♥	Health		#ffffff	#000000	#cccccc	How can I<br>become more<br>physically, mentally,<br>and spiritually<br>healthy?	1	I'm pretty physically healthy. Some think I'm mentally ill, but they couldn't do half the things I do without going crazy.
	8C	#000000	8♣	8	♣	Common Good		#ffffff	#000000	#cccccc	How can I<br>make the world<br>a better place?	1	I reduce the level of chaos in the world.
	8D	#ff0000	8♦	8	♦	Economy		#ffffff	#000000	#cccccc	Do I have<br>what I need<br>for the future?	1	I wish you hadn't asked me that because now I realize I don't have something to do in the years between when I'm too old to do what I do and when I die.
	8S	#000000	8♠	8	♠	Power		#ffffff	#000000	#cccccc	When do I need<br>more power<br>and why?	1	When my enimies are more powerful then I need to become more powerful in order to defeat them.
	9H	#ff0000	9♥	9	♥	Thinking		#ffffff	#000000	#cccccc	Can I think<br>mathematically,<br>verbally, and<br>emotionally?	1	Well enough. It hasn't killed me yet.
	9C	#000000	9♣	9	♣	Crowd		#ffffff	#000000	#cccccc	How am I influenced<br>by other people?	1	I'm not.
	9D	#ff0000	9♦	9	♦	Unknown		#ffffff	#000000	#cccccc	What questions<br>am I failing<br>to ask?	1	Now that you ask, I realize I've never thought about who will be my successor and how I might train him or her.
	9S	#000000	9♠	9	♠	Markets		#ffffff	#000000	#cccccc	How can I<br>be more successful<br>in the market<br>for who I am?	1	I doubt I could be more successful. I'm at the top of my game.
	TH	#ff0000	10♥	10	♥	Self-Love		#ffffff	#000000	#cccccc	What are my<br>better attributes?	1	Loyalty, competency, endurance, and - quite frankly - I'm good looking and very charming.
	TC	#000000	10♣	10	♣	Loving Others		#ffffff	#000000	#cccccc	Who do I love,<br>how, and why?	1	That's none of you damn business.
	TD	#ff0000	10♦	10	♦	Loving Life		#ffffff	#000000	#cccccc	What gets me up<br>every morning?	1	What a stupid question. It's what you do each day, you get up and do what needs to be done.
	TS	#000000	10♠	10	♠	Love of the Work		#ffffff	#000000	#cccccc	What do I love<br>to do?	1	I love the chase; the game; the excitement; and the women.
	JH	#ff0000	J♥	J	♥	Forgiveness		#ffffff	#000000	#cccccc	Can I, will I,<br>and do I<br>forgive myself<br>and others?	1	If I do my job right there is nobody left that needs to be forgiven.
	JC	#000000	J♣	J	♣	Empathy		#ffffff	#000000	#cccccc	Can I undersand<br>what others<br>feel, think and do<br>even when I<br> don't like them?	1	If I can't can't get into someone else's head then I can't win against them. I'll tell you, there is nobody else I'd want to be, that's for sure.
	JD	#ff0000	J♦	J	♦	Entropy		#ffffff	#000000	#cccccc	How will I<br>resist the forces<br>of chaos?	1	That's precisely my job; I resist the forces of chaos.
	JS	#000000	J♠	J	♠	Salesmanship		#ffffff	#000000	#cccccc	How can I<br>get others to<br>want me to<br>meet their needs?	1	When my eneimies are more powerful then I need to become more powerful in order to defeat them.
	QH	#ff0000	Q♥	Q	♥	Personal Narrative		#ffffff	#000000	#cccccc	What has been my<br>story so far and<br>what kind of<br>experiences have I<br>set myself up<br>to have?	1	It's been a grand adventure so far and I'm going to keep going as long as I can. But if when I get too old they give me a desk job then I'm going to blow my brains out.
	QC	#000000	Q♣	Q	♣	Human Condition		#ffffff	#000000	#cccccc	How can I<br>be of service<br>to mankind?	1	I am of service to mankind because the people I deal with are a treat to us all.
	QD	#ff0000	Q♦	Q	♦	Mythology		#ffffff	#000000	#cccccc	What invented<br>stories are useful in<br>making sense of<br>the world?	1	You might think the story of my life was made up, but that's bull. Fairy tales are for children. The world might be grim, but it's not one of Grim's fairy tales.
	QS	#000000	Q♠	Q	♠	Hero's Journey		#ffffff	#000000	#cccccc	When will I<br>put myself at risk<br>for the benefit<br>of others?	1	When I'm on the job I put myself at risk nearly every day, and believe me, I don't do it for the money.
	KH	#ff0000	K♥	K	♥	Honesty		#ffffff	#000000	#cccccc	Am I<br>who I say I am?	2	I absolutely am who I say I am, except when I'm deceiving others, which is a big part of my job.
	KC	#000000	K♣	K	♣	Accountability		#ffffff	#000000	#cccccc	Who holds me<br>accountable?	2	My boss holds me accountable. The government holds me accountable. Bostly my enemies hold me accountable because if I don't do my job well they might kill me.
	KD	#ff0000	K♦	K	♦	Growth		#ffffff	#000000	#cccccc	How will I<br>become more<br>knowledgeable, skilled<br>and wise?	2	Generally, before an assignment I'm told what I need to know, and when I discover I need to know something later there is a whole organization that helps me find out.
	KS	#000000	K♠	K	♠	Integrity		#ffffff	#000000	#cccccc	What are the<br>rules that I live by<br>and do I do<br>what I say<br>I will do?	2	I always make sure I have a way out. I don't show weakness. I never let them see me bleed. I do what I say I will do and I sleep very well at night.
	BJ	#000000	JOKER	J<br>O<br>K<br>E<br>R		Mortality		#ffffff	#000000	#cccccc	Is doing<br>what I<br>am doing<br>worth<br>my time?	1	Absolutely. There are certain jobs that just need to be done and I'm the right person to them.
	RJ	#ff0000	JOKER	J<br>O<br>K<br>E<br>R		Secret Purpose		#ffffff	#000000	#cccccc	Why do<br>I do<br>what<br>I do?	1	I dont' know what else I would do. I would be medioocre at anything else.
